,Title,Location,Company,Salary,Link,Description,Category
0,            IT Internship,Sydney NSW,        Global group,None,https://au.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A4AsVYUK7Tp9UUVxQuS9jHyTpNkSlCDwhpf-Z6AdLSItDRo6w0SclmgB-ZuPwP6VdCRrnKpwvDjs33XNDUAA3cpL0ygWmPxhnx3f8y4SJ4upQ0ry_Tf95Elx-Wmn-qI9JBBk6Cj808HIFqPhddRrdzA0muQWkMbC9rpBydFUJc3nKjgCLRcnNG7fMCv-BglQzVndZdaet5v3wbkL47_OOhH5ADClcs9vlUn8eKDzuwEB-I932AvpJAI0_tz4Rh577AwT4Yzjg2In0b5QxWoRQqFX1wj47epF2hgGv8Msw5quFn0Z3xcL4XDcL41O2l3pvfzKHko68yhGU3PpOUd7VdyikrblXvpjeeGb3J4hHMPZW6MecowuTfZOVMAce7gYiw2QfOtvn7ILklO1eVkwyGMMMTy1fYqI9aw-5QrFgAYw==&vjs=3&p=0&fvj=1,An Sydney based company is currently looking for an enthusiastic and creative interns to work within their highly-motivated team.Interns will gain exposure and industry experience whilst assisting with the IT team across a variety of platforms and mediums.Part timeStipen AvailableSydney CBDAvailable Positions: IT SupportDeveloperTesterIT Networking & CommunicationData ScientistAI DeveloperProfessional Internship Program3 months onlyStudents can applyUniversity CreditsPlease send resume and cover letterOnly Successfull candidates will be contactedJob Type: InternshipJob Type: InternshipSalary: $50.00 /day,data science
1,Data CoE Expressions of Interest,Sydney NSW,        Optus,None,https://au.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aqhk6YEAOAzvTfkTJYuFR_TIDy1ftYnVVkDxuij2swmJwAq1n5V4s0Hp0r1_M3mRpI0E2hahE262O5rgmIRPCzQT4HJiL2zQtb-r-Hj3y_lg4jKtMQKTH8oQxibSgVTfqH__DG_jRB5Rv_FVBRZeyf5CjHo8QzoYk19t_uiIz9eWrf9yfW5nZUYdFPT7V-_CloMoAjr7a51qViHt26-zKkhDKyOeNPaTNbiGIzEQjZEDEdvuTXaF-Rp_yGwLFmpLkbCn299Dk3EQ8upTtg7KNEcp2ngkSX96dM5e7ArcvXJ6OKz_ZNUnnfvtDEd_IK5WsHetFUMgpDXX61F6gd4RzWiJXUi7cov6PBitAqVv_HaEohurvvwujxTwI_I4HJog-NNobhjy726TPwWJvYpdz67ZP6ml8HScaLfo8cXvzELgT2VqU9Bc4IEH0XTGih3XRBE-foXqKZUjuSPTlzw8Ylgg5b-2dpJLIxDsu9IFHOKFZlBvcTB_quWE87y2qa4aseBdr6DSjVvqWFeQeIhc8cRCvJ_hdPgpe4XiWAbcJpaw==&vjs=3&p=1&fvj=0,"We're going where no other telco has gone before – we’re inspiring a next-generation Optus powered by data and analytics. Your experience caught our eye, as we've been looking for people like you to support our data transformation. As Optus continues to push to be a world-class, mobile-led digital service provider, our focus on data and analytics has sharpened.
We are continuing to build on our data analytics community and are searching for talented, creative people and people leaders with skills and proven experience in Data Science and Machine Learning, Advanced Analytics, Big Data Engineering, Data Governance, Advanced Data Visualisation Development and UI Design. This team will ultimately drive profitable growth for Optus by proactively predicting and meeting our customers’ needs, optimising business operations, and empowering, engaging and increasing effectiveness of our employees by using data and analytics to enable intelligent business decisions.
Our team members are curious, bold and able to create connections using their passion of data and analytics.
The perks
Optus is a place where we let you do you. We offer all kinds of benefits, such as:
Work collaboratively in an open, agile environment with flexible working hours and location
Discounts with over 400 companies Australia wide (Technology, Retail, Home, Fashion and more!)
Mobile & Internet discounts, Novated Car Leasing, and other Financial benefits
Onsite facilities at Macquarie Park such as a Gym, GP, Mini-Mart, Cafes
Training, Mentoring and further learning opportunities
Social events, social clubs and sports teams!
Regular visits by our various partners, such as mobile dentists, food trucks, charities, independent retailers and fruit vendors!
Staff buses to Epping and Wynyard, and back again

Key Roles
Data Scientist
Data Engineer
Data Visualisation
Data Analyst
Data Centre of Excellence Leaders
Agile Coaches

About you

You are a self-starter with a curious mind and collaborative attitude - unconventional backgrounds welcome

Other preferred skills and experience include:
Tertiary qualified in quantitative discipline (Engineering, Maths, Economics, Science or IT)
Model building and feature engineering for machine learning
Working with analytical tools and systems, including SQL/Teradata, Python, R, Scala and big data technologies
Background in fields and roles within Data and Analytics and Data Engineering
Great communication skills and ability to build relationships with diverse teams
Have intense curiosity - a desire to go beneath the surface of a problem, find the questions at its heart and distil them into a very clear set of hypotheses that can be tested
Keep abreast of innovate analytics, data science, engineering and other industry leading techniques

About us
At Optus, we don’t sit back and let the future happen to us – we’re out there making it. By expanding into new technology and relentlessly improving every day, we’re working to create a better tomorrow for all Australians.

**Please note, some Perks are only available at our Macquarie Park Campus**

#LI-RP1

Optus believes in the strength of a vibrant, diverse and inclusive workforce where backgrounds, perspectives and life experiences of our people help us innovate and create strong connections with our customers.

Heads Up!
Due to the fast paced nature of our business, vacancy close dates may change, so make sure you apply today!",data science
2,Data Scientist,Sydney NSW,        Accenture,None,https://au.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CV4holdffd831ZKQhR8rczbMi0923Hh_m8CV6wbSqk2HeI17EP9wQnE-n7fLbHACB6oh9nOJAFds2AgM8unGoWjP6l4FVe7A3JpCyGVrifpcy7e8Es8MXkxt5RHPXlwAfjIpOma_vBaApyYwsSCJd9V9A245JPeJkVaHS--7wmmHAmFn4Gp-WdkXvcLzBnuIdkhLECJmsakOLEyW1DgyT666Vh0lLLAfRErUArtbOJzVgF-hhjXeaWaP8xhZ2leanGmg-Gahk-Z04t0-dRTQmeeR0pppuBO4Uoi1lTJwmkqIl-rzHbBirrfr4TPIdtriHTyO5BURCAZ_8aJtNTxX7wt40TBvUxyvnwhgJQ4ZL1AyrLgNl1pAPYYAofWTlI1ZWz9hwYMa2p74LieF2y4zFbyr8n0KPiPcFXvNjRhQic1122AJaYrDwhe94H-dyN47pyhi7TeB0qh9jAU6NgkIy-hzKlsMoShHXLVCNno_kGheeMRogMaO9zCdXei_d7QEo=&vjs=3&p=2&fvj=0,"Flexible work arrangements to meet your needs
Work and learn from the best people every day
Be yourself at work
Explore career opportunities as you help create innovative solutions with diverse, global teams using cutting-edge technologies.

We can help you build the career you dream of. Our success relies on ensuring our people enjoy the inspiring challenges, exceptional experience and flexibility they need to succeed at every stage of their career. As a leading professional services company with more than 459,000 people working across 120 countries, your career can take many exciting paths spanning digital, strategy, consulting, technology and operations. As part of a global diverse workforce you will help change how Australia lives, works, plays and grows. Join us, learn from the best people and let challenging, interesting and enjoyable work become part of daily life.
A typical day for our Consultants:

Apply your deep expertise in data science, machine learning, and consulting skills in client engagements covering the end-to-end process including ideation, model prototyping, solution building and operationalisation.
Act as a key contributor in critical situations within area of expertise, either internally for Accenture or at client engagements.
Articulate business impact and benefits of advanced analytics solutions via business/scientific storytelling and advanced visualisation techniques.
Contribute to the team’s effort for building, nurturing and maintaining a leading-edge data science team.

Basic Qualifications

Must be Australian Citizen (due to security clearance requirements)
BS in Statistics, Applied Mathematics, Operations Research, Computer Science, Engineering, Economics,
2+ years’ hands-on experience in gathering, curating and preparing appropriate representative data for building machine learning and statistical models.
Minimum one year of experience in deploying machine learning algorithms in analytics-enabled digital transformations.
Extensive hands on experience in at least one scientific programming language (preferably R or Python).
Proficient in Agile project management, version control, shell scripting and high performance or distributed computing platforms (e.g., Apache Spark, graph databases and GPU based computing platforms).
Preferred Qualifications

Master or PhD degree in a quantitative discipline: Statistics, Applied Mathematics, Operations Research, Computer Science, Engineering, Economics, etc.
Deep understanding and practical experience in common statistics and machine learning frameworks including probability theory, Bayesian methods, neural networks, and reinforcement learning.
Experience with applying principles of Natural Language Processing (NLP)
Experience in leading small analytics teams.
About Accenture


Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions – underpinned by the world’s largest delivery network – Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 459,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.


Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law",data science
3,Data Scientist - Contractor,Sydney NSW,        Mphasis,None,https://au.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D35pONiEzCV0HOA1LSj07MBrUNmnAaSWLsWvroqamMmuv5sIOLoiF5sHAk0I1jg4IBTZQx1kR2o_ksYkM7Y9D4JPRnOFS5u5Qq7p_qnCugxB7L-o4vRJ-Zs5WEyjm6dqrt4NasU9U3CY8dDWW8ug1Rj5fyi4dYtA2ieZ-iVi83SiH-RecfWtAeUHTc_ZAM0IcT6pYtcA37FC_UPPZQRQgMLjx3zmKf21MRZrh4mSiUcClCloFDAUsejlefgkWCyVeGedi2pmGlFrdk8KPLCs_38jq1OUH4P0xI1P0uEDcHunuWhLNIXVETzFiHNqQoCT-NBPl0Yjh8HyH0uW8r5vRui-yDJAt4FezbLUpWl0GivNAodL3AWaKvF_jDRDGPdC-7Ts7FUK3DCl0g_IZSG6mWgVRWuSJAEVq9h0qGu4qaslYkWbFRGOWVG09OxocGzIZ3lQbiVPpk8aP8i29M5nmFCQqYa3RWlayW1mTX_3ybrN2i6YytcH08&vjs=3&p=3&fvj=0,"Job Description :
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends to make better decisions.
Experience:
8-10years
Mandatory Skill:
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Strong Academic background, lots of practical experience, quick learner of Comms, government affairs and apply expertise and critical thinker. Good Communication.
Smart, Data Oriented, Tech focused, willing to learn about strategic professions.
Gook to have skill :
Problem-solving aptitude
Excellent communication and presentation skills
Tools Knowledge:
Data Scientist tools - ,Apache Hadoop,Apache HBase etc,
Domain & Soft Skill:
Programming
Quantitative analysis
Teamwork
Qualification
Graduate/Post Graduate.",data science
4,Data Scientist,Sydney Central Business District NSW,        Westpac,None,https://au.indeed.com/rc/clk?jk=3bd8bb6cec4745ee&fccid=3fd7e618c83b6346&vjs=3,"As a Data Scientist you will support our complaints Insights & Analytics team to make informed decisions through the application of data mining, predictive analytics and machine learning techniques. You will work closely with business partners to understand the business objectives and challenges to design analytical solutions to meet business goals.
Adept at using large data sets and streaming data to find opportunities to help optimise portfolio performance, you will identify customer needs and test the effectiveness of different courses of action. You will have strong experience using a variety of data mining/data analytics methods, using a variety of analytics tools, building and implementing models. You will naturally demonstrate a proven ability to drive business results with data-based insights and must be comfortable working with a wide range of stakeholders and functional teams.

What is in it for me?
You will have the opportunity to build something from scratch. You are joining a new team and have the opportunity to automate a high percentage of the text analytics workload that is currently processed manually. This is your chance to really make the role your own and put your own unique footprint on it, with the opportunity to build your networks, knowledge and profile internally with stakeholders from across the bank.

What do I need?
Excellent proficiency in translating and analysing data
Strong working and conceptual knowledge of building and maintaining physical and logical data models
Selecting features, building and optimising classifiers using machine learning techniques
Coordinate with different functional teams to implement models and monitor outcomes
A minimum of 3 years’ experience in statistical modelling in a big data environment (Hadoop/Spark/R/Python) in Financial Services/Banking or similar industry
Knowledge of a variety of statistical and data mining techniques (regression, statistical tests and proper usage, random forest, clustering, decision tree learning, deep learning text mining etc.) and their real-world advantages/drawbacks.
Experience with Natural Language Processing and unstructured data an advantage
Tertiary education in the Science, Technology, Engineering or Mathematics disciplines
What’s it like to work here?
You’ll join a small and agile newly formed team, so it could be ambiguous at times but you will have a chance to join the team at inception which is really exciting. You’ll also be doing your bit to reach our vision to become one of the world’s greatest service companies. As an equal opportunity employer, we celebrate difference and love having a diverse and inclusive workplace.",data science
5,            Deloitte Digital - Data Scientist,Sydney NSW,        Deloitte,None,https://au.indeed.com/rc/clk?jk=2328bba800bf9f24&fccid=9e215d88a6b33622&vjs=3,"Digital Data Scientist World-class learning and leadership programsFlexible work arrangements – work in a way that suits you bestGreat corporate culture What will your typical day look like? This position will require you to understand the business objectives of our clients, identifying opportunities to add value, and having the ability to work with cross-functional teams (technical and non-technical) to implement digital marketing solutions and drive outcomes for the client. Data and analytics are at the core of what we do. To perform the role you must have an analytical and inquisitive mindset, to continuously improve the business insights that are surfaced.

You must also be comfortable working in a client facing role with marketing and product teams. This role will also involve running workshops (from customer journey ideation to training workshops), meeting with stakeholders, and interacting with people from Performance, Email marketing, Brand and Content teams to deliver data and segmentation requirements, and make strategic recommendations for enhancing team capability and marketing outcomes. There is a lot of space to grow within the team, and there is great opportunity to find the work that you enjoy the most. There are also abundant learning opportunities within Deloitte and there is a great corporate culture in the office.

About the team A Digital, Customer & Marketing consultancy with the backing of a top-tier firm. Deloitte Digital is where business, creativity and technology intersect to craft beautifully seamless experiences that deliver business outcomes. With a wonderful mix of designers, strategists, technologists and makers, we are a powerhouse committed to transforming experiences and making an impact that enriches people’s lives. Enough about us, let’s talk about you.

Passionate about applying data science to “customer” problems such as data-driven marketing or augmented human intelligenceKeen to work in a digital environment, collaborating with strategists designers, marketers and software engineers as well as with Deloitte’s partner McLaren Keen to work with Deloitte’s partner McLaren to apply Formula 1 technologies into our client environmentsExperienced with scripting or development languages such as R, Python, Matlab or C/C++ and able to switch languages as required. Experienced in using ML algorithms, understands importance of a clean and reliable data pipeline to support a machine learning product Able to lead team to rapidly develop proof of concept application using the relevant engineering principlesDesign solution architectures that fits client's needs, using various components/tools/modern web services as required to deliver the desired outcomeFluent in statistics and key topic areas around model outputs, can engage with technical client SMEs to discuss details of solutions Why Deloitte Digital? At Deloitte, we create positively differentiated work experiences that enable our people to feel valued and achieve their full potential. We value difference, and embrace people with diverse backgrounds and thinking styles.

Knowing that people work best in different ways, we are happy to discuss alternative arrangements if the working pattern you are looking for is not specifically indicated. Next Steps Sound like the sort of role for you? Apply now. If you’ve got any questions or wish to have a confidential conversation about this role, contact Ellie from the ­­­Deloitte Digital Talent team.

We’d love to hear from you! By applying to this job you will be assessed against the Deloitte Global Talent Standards. We've designed these standards to provide our clients and candidates with a consistent & exceptional Deloitte experience globally.Deloitte Touche Tohmatsu is the DTTL member firm in Australia (""Deloitte Australia""). ""Deloitte"" is the brand under which tens of thousands of dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting, financial advisory, risk management, tax and related services to select clients.

Requisition code: AUEXP166135",data science
6,            Junior data scientist/machine learning engineer,Sydney NSW,        Intellify,None,https://au.indeed.com/rc/clk?jk=0758a505fd7432d5&fccid=a727f53d9ab294d1&vjs=3,"About Intellify Intellify is a data science, machine learning and artificial intelligence consulting company who helps our customers to increase growth, operate more efficiently and build competitive advantage. Our team consists of leading data scientists, machine learning engineers and product developers that extensively use advanced (statistical) machine learning and optimisation techniques to create state-of-the-art solutions for business needs. About the Opportunity As we are growing at rapid speed, we are seeking a full-time data scientist/machine learning engineer who has extensive experience in data science, machine learning and/or statistical modelling and programming. As part of this role, you will be mentored by senior data scientists and help develop and build data science solutions using a combination of the latest technologies and business strategies. With a startup culture and applying cutting-edge technology to real-world business problems, yo
If you are interested in being considered for a role that is not advertised here, please send an email careers@intellify.com.au with your CV and a cover letter, including what kinds of roles you are interested in.",data science
7,Data Scientist,Sydney Central Business District NSW,        News Corp Australia,None,https://au.indeed.com/rc/clk?jk=b58053cd7aca52ef&fccid=596d81c639bb1e01&vjs=3,"Data Commercialisation is a high-growth business for News Corp Australia focused on building a market leading capability around our audience and content targeting products. As we focus on expanding our data platform capabilities to provide new commercial products or improve existing products you will take our in house data modelling capability to the next level.
What’s the role?
Work across a number of project initiatives as a hands on Data Scientist for our audience targeting product News Connect
Build up our in house audience modelling capability
Work with our existing data science partners to ensure that what is being produced meets our product requirements
Provide campaign analysis to assist in proving the effectiveness of an advertising campaign
Guide the engineering team on how to include machine learning techniques
Provide input into roadmapping on how we can improve our audience profiling and targeting products
Who are you?
Excited about industry trends in machine learning and AI
Knowledgeable about current best practices around machine learning
Experience with Google or AWS big data services like Google BigQuery, Google AutoML, AWS Athena and AWS SageMaker
Skills in Python and SQL are a plus
Able to drive data informed decisions and provide input to product planning
What’s in it for you?
Collaborative environment
Opportunity to innovate, challenge the norm and pioneer the way forward
Variety of work where no two days are the same
Make a difference as part of Australia’s most influential media organisation
Company benefits - Audi, Samsung, Medibank, Apple
Who are we?
The nation's most influential media organisation, News Corp Australia reaches an unduplicated audience of 16 million Australians every month. As well as our famous news, sport and lifestyle brands such as The Herald Sun, FOX SPORTS, Vogue and GQ, we lead the way with number-one websites news.com.au, realestate.com.au and kidspot.com.au. We have the largest online news audience in the country, with a bigger digital footprint than Facebook.
What's next?
Apply now or for more information on careers at News Corp Australia visit www.newscorpaustralia.com/careers",data science
8,Data Scientist,Sydney NSW,        Accenture,None,https://au.indeed.com/rc/clk?jk=03f291267568c7b0&fccid=a4e4e2eaf26690c9&vjs=3,"Flexible work arrangements to meet your needs
Work and learn from the best people every day
Be yourself at work
Explore career opportunities as you help create innovative solutions with diverse, global teams using cutting-edge technologies.

We can help you build the career you dream of. Our success relies on ensuring our people enjoy the inspiring challenges, exceptional experience and flexibility they need to succeed at every stage of their career. As a leading professional services company with more than 459,000 people working across 120 countries, your career can take many exciting paths spanning digital, strategy, consulting, technology and operations. As part of a global diverse workforce you will help change how Australia lives, works, plays and grows. Join us, learn from the best people and let challenging, interesting and enjoyable work become part of daily life.
A typical day for our Consultants:

Apply your deep expertise in data science, machine learning, and consulting skills in client engagements covering the end-to-end process including ideation, model prototyping, solution building and operationalisation.
Act as a key contributor in critical situations within area of expertise, either internally for Accenture or at client engagements.
Articulate business impact and benefits of advanced analytics solutions via business/scientific storytelling and advanced visualisation techniques.
Contribute to the team’s effort for building, nurturing and maintaining a leading-edge data science team.

Basic Qualifications

Must be Australian Citizen (due to security clearance requirements)
BS in Statistics, Applied Mathematics, Operations Research, Computer Science, Engineering, Economics,
2+ years’ hands-on experience in gathering, curating and preparing appropriate representative data for building machine learning and statistical models.
Minimum one year of experience in deploying machine learning algorithms in analytics-enabled digital transformations.
Extensive hands on experience in at least one scientific programming language (preferably R or Python).
Proficient in Agile project management, version control, shell scripting and high performance or distributed computing platforms (e.g., Apache Spark, graph databases and GPU based computing platforms).
Preferred Qualifications

Master or PhD degree in a quantitative discipline: Statistics, Applied Mathematics, Operations Research, Computer Science, Engineering, Economics, etc.
Deep understanding and practical experience in common statistics and machine learning frameworks including probability theory, Bayesian methods, neural networks, and reinforcement learning.
Experience with applying principles of Natural Language Processing (NLP)
Experience in leading small analytics teams.
About Accenture


Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions – underpinned by the world’s largest delivery network – Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With 459,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com.


Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law",data science
9,            Senior Data Scientist,Sydney Central Business District NSW,        Algorithmic Trading Strategies Pty Ltd,"                $160,000 - $180,000 a year",https://au.indeed.com/company/Algorithmic-Trading-Strategies/jobs/Senior-Data-Scientist-470ecf18a78334a3?fccid=36e1f95c57a5520b&vjs=3,"We are looking for an experienced Data Scientist with solid experience (at least 4 years) working as a Data Scientist and with exposure to a broad set of financial markets data sets and related use cases.This is a fantastic opportunity to get in at the ground level into a very established Financial Markets company which is only just building out their Data Science practice and moving away form providing data and closer to providing analytic products.The platform is built and we are now on the journey to start to build the first set of analytics products. You will work with a team of Data Engineers who will deliver the products you prototype.The ideal candidate will have tertiary qualifications in statistics, mathematics, computer science or another relevant field and hands-on experience building and optimising statistical, quantitative and machine learning models using SQL, Python or R.They will have a good level of knowledge and experience in data structures, data mining, data transformation and data visualisation across large structured and unstructured datasets.Ideally you would have worked with big data technologies such as Hadoop, Spark, Hive, MapReduce, Hive and Kafka and visualisation tools such as Tableau and Spotfire.You would have pitched data science stories to non-technical stakeholders to excite them about the potential of analytics and effectively bring them on the data science journey.Apply today to find out more.Job Type: Full-timeSalary: $160,000.00 to $180,000.00 /year",data science
